asset,weight,mu_annual,return_contrib
VOO,15.00%,10.00%,1.50%
SMH,5.00%,25.00%,1.25%
NVDA,5.50%,20.59%,1.13%
GWW,4.35%,12.30%,0.54%
LLY,4.15%,12.03%,0.50%
BONDS,10.00%,4.25%,0.43%
QQQ,2.50%,17.00%,0.43%
IWF,2.50%,17.00%,0.43%
REGN,3.00%,11.46%,0.34%
DECK,3.00%,8.32%,0.25%
TSLA,3.00%,8.05%,0.24%
FTNT,3.00%,6.84%,0.21%
SNPS,3.00%,7.00%,0.21%
CSL,3.00%,6.31%,0.19%
ULTA,3.00%,6.05%,0.18%
IDXX,3.00%,6.05%,0.18%
DDOG,3.00%,5.63%,0.17%
FI,3.00%,5.33%,0.16%
LMT,3.00%,4.99%,0.15%
TTD,3.00%,5.00%,0.15%
WST,3.00%,2.22%,0.07%
AWR,3.00%,2.00%,0.06%
WSM,0.00%,13.66%,0.00%
FICO,0.00%,13.38%,0.00%
NOW,0.00%,8.75%,0.00%
KLAC,0.00%,15.39%,0.00%
LYV,0.00%,5.03%,0.00%
MPWR,0.00%,13.57%,0.00%
EA,0.00%,5.35%,0.00%
MANH,0.00%,7.26%,0.00%
TYL,0.00%,4.35%,0.00%
PLTR,0.00%,21.68%,0.00%
NFLX,0.00%,7.84%,0.00%
ADP,0.00%,6.68%,0.00%
CVCO,0.00%,9.93%,0.00%
PANW,0.00%,10.05%,0.00%
NTAP,0.00%,7.01%,0.00%
APPF,0.00%,9.25%,0.00%
CDNS,0.00%,10.83%,0.00%
VST,0.00%,18.02%,0.00%
CEG,0.00%,18.31%,0.00%
NEE,0.00%,4.49%,0.00%
FSLR,0.00%,10.73%,0.00%
ADBE,0.00%,2.72%,0.00%
AAPL,0.00%,9.50%,0.00%
MSFT,0.00%,14.11%,0.00%
OMC,0.00%,4.66%,0.00%
LULU,0.00%,11.08%,0.00%
DPZ,0.00%,10.56%,0.00%
HD,0.00%,5.66%,0.00%
HCA,0.00%,12.29%,0.00%
BKNG,0.00%,9.02%,0.00%
ABBV,0.00%,11.48%,0.00%
HALO,0.00%,13.09%,0.00%
MEDP,0.00%,12.77%,0.00%
DXCM,0.00%,11.91%,0.00%
MOH,0.00%,9.68%,0.00%
NVR,0.00%,12.23%,0.00%
URI,0.00%,14.47%,0.00%
ODFL,0.00%,11.51%,0.00%
WMG,0.00%,1.92%,0.00%
ITW,0.00%,9.69%,0.00%
PH,0.00%,11.47%,0.00%
LII,0.00%,11.80%,0.00%
NXST,0.00%,6.87%,0.00%
WTS,0.00%,11.82%,0.00%
POWL,0.00%,21.04%,0.00%
SEDG,3.00%,-6.19%,-0.19%
ENPH,3.00%,-5.32%,-0.16%
EPAM,3.00%,-2.66%,-0.08%
