asset,div_yield
BONDS,0.0425
VOO,0.012
SMH,0.012
IWF,0.007
QQQ,0.005
NFLX,0.0
TTD,0.0
EA,0.0116
LYV,0.0
OMC,0.0354
NXST,0.039
WMG,0.0232
NVR,0.0002126821455063445
BKNG,0.0002126821455063445
TSLA,0.0
HD,0.023799999999999998
DPZ,0.0168
DECK,0.0
LULU,0.0
WSM,0.013999999999999999
CVCO,0.0
ULTA,0.0019127041543761454
LLY,0.0
REGN,0.0
HCA,0.0
IDXX,0.0
WST,0.0
ABBV,0.0288
HALO,0.0
MEDP,0.0
DXCM,0.0
MOH,0.0
GWW,0.0196
URI,0.0196
ODFL,0.0196
LMT,0.028399999999999998
ITW,0.0262
PH,0.0196
LII,0.0105
CSL,0.013000000000000001
WTS,0.0196
POWL,0.0196
NVDA,0.02
MSFT,0.0
AAPL,0.0
ADBE,0.000995318647707898
NOW,0.0
KLAC,0.0
SNPS,0.0
MPWR,0.0
FTNT,0.0
DDOG,0.0
MANH,0.0
TYL,0.007088229319343982
PLTR,0.0
FICO,0.000862463743466961
ADP,0.0219
FI,0.0
EPAM,0.0
PANW,0.0
NTAP,0.0178
APPF,0.0
CDNS,0.0
VST,0.0265
AWR,0.0265
CEG,0.0
NEE,0.0268
ENPH,0.0
FSLR,0.0
SEDG,0.0
