,weight
BONDS,0.1
VOO,0.15
SMH,0.05
IWF,0.025
QQQ,0.025
WMG,6.1852059159718965e-15
NXST,3.5254845833643815e-15
NFLX,1.6065220176690741e-12
CABO,1.84392180881135e-15
TTD,0.030000000011922396
EA,3.5500191476572895e-14
OMC,3.950371042590491e-15
NYT,1.215423479038337e-14
FOXA,1.5073858821877548e-14
CNK,1.1811146811567436e-14
LYV,1.6945401320507937e-12
NVR,0.03000000001492752
BKNG,1.8766157821914558e-14
HRB,4.27149378666856e-15
TSLA,1.7592310033270062e-12
HD,5.860044344704407e-15
WSM,1.003837552619388e-14
DPZ,8.687014141325378e-15
CVCO,1.5455320955558532e-12
ULTA,6.654276004908259e-13
CHWY,0.03000000001447732
DECK,1.594645337120064e-12
LULU,0.03000000001038525
CL,5.271735320640405e-15
GHC,1.984110616168953e-14
KMB,3.2388437423513097e-15
CLX,3.2326454632383464e-15
LOPE,1.5232005115114448e-12
HCA,0.030000000132704183
WAT,0.03000000001258894
REGN,2.340293079342618e-14
IDXX,0.03000000001347729
COR,2.0958935002849762e-14
WST,4.5653173952599497e-14
HALO,0.03000000001483997
MEDP,1.5024221960906512e-12
CHE,2.5834611491138888e-14
ABBV,4.815744441547825e-15
LLY,1.913212910779621e-14
VRSK,0.030000000203113084
URI,1.8885742535911304e-14
LII,1.4241369318492014e-14
POWL,0.030000189880268247
GWW,1.5927224418601286e-14
WTS,0.041031999022296844
ITW,5.750019034065392e-15
WSO,4.218048665405686e-15
PH,1.586377578300175e-14
CSL,1.1481391035756313e-14
NVDA,0.03250000002333477
DDOG,0.03000000001403343
KLAC,0.04773704718206921
PLTR,0.030000000026482846
MANH,0.030000000013624406
SNPS,1.6811568465450464e-12
MPWR,0.03000000013289856
IDCC,1.8351971539974214e-14
SONO,1.7800040918065741e-12
AAPL,3.368267846090578e-14
FTNT,1.6837418540430966e-12
APPF,1.5841564375918824e-12
MSI,1.456172336199682e-14
ADP,6.407178568720666e-15
LRCX,2.0051922554624126e-14
NTAP,8.016991629845094e-15
VST,0.04249999971881969
CEG,0.0662307635386135
AWR,5.457601437334009e-15
